ODE,Epsilon,N,Mesh,Method,Max Error
ODE 3,1e-07,8,shishkin,backward,0.5892846708238756
ODE 3,1e-07,8,shishkin,upwind,0.000554690570816585
ODE 3,1e-07,8,bakhvalov,central,0.6190401526087836
ODE 3,1e-07,8,bakhvalov,forward,0.0026516475760447467
ODE 3,1e-07,8,bakhvalov,backward,0.9991180507220571
ODE 3,1e-07,8,bakhvalov,upwind,0.11934635609553867
ODE 3,1e-07,16,uniform,central,2912.8712139826825
ODE 3,1e-07,16,uniform,forward,1.0000036571540027
ODE 3,1e-07,16,uniform,backward,1.000003657154003
ODE 3,1e-07,16,uniform,upwind,1.2799508500416223e-05
ODE 3,1e-07,16,shishkin,central,0.9999480773214856
ODE 3,1e-07,16,shishkin,forward,1.0000017999942885
ODE 3,1e-07,16,shishkin,backward,1.000001651246594
ODE 3,1e-07,16,shishkin,upwind,0.05187100837244851
ODE 3,1e-07,16,bakhvalov,central,0.9999552235552698
ODE 3,1e-07,16,bakhvalov,forward,1.000001799995143
ODE 3,1e-07,16,bakhvalov,backward,0.9955665308246069
ODE 3,1e-07,16,bakhvalov,upwind,0.061989308926553466
ODE 3,1e-07,32,uniform,central,603.6240871901775
ODE 3,1e-07,32,uniform,forward,1.0000068267099416
ODE 3,1e-07,32,uniform,backward,1.0000068267099425
ODE 3,1e-07,32,uniform,upwind,5.119213697721971e-05
ODE 3,1e-07,32,shishkin,central,0.9997434319705228
ODE 3,1e-07,32,shishkin,forward,1.0000032666789773
ODE 3,1e-07,32,shishkin,backward,1.0000031176505622
ODE 3,1e-07,32,shishkin,upwind,0.02794990772200695
ODE 3,1e-07,32,bakhvalov,central,0.9997622751581124
ODE 3,1e-07,32,bakhvalov,forward,1.0000032666765648
ODE 3,1e-07,32,bakhvalov,backward,0.9981875309796657
ODE 3,1e-07,32,bakhvalov,upwind,0.03178061693081663
ODE 3,1e-07,64,uniform,central,128.74002927285653
ODE 3,1e-07,64,uniform,forward,1.0000132130719894
ODE 3,1e-07,64,uniform,backward,1.0000132130719894
ODE 3,1e-07,64,uniform,upwind,0.00020467425386016839
ODE 3,1e-07,64,shishkin,central,0.9988018441664088
ODE 3,1e-07,64,shishkin,forward,1.000006428619507
ODE 3,1e-07,64,shishkin,backward,1.0000068010423038
